Worksheet Row,Item / Pin Name,Current Column C,Current Column D,Recommended Column C,Recommended Column D,Priority,Why / Where to update,Pin Connection Guideline,Additional Info,Power Group,Decap,Decap Additional Info
97,SDM_IO3,OK,OK,OK,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the data2 pin of the QSPI flash device when configuring from the QSPI flash device.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / Connect this pin to the data2 pin of the QSPI flash device when configuring from the QSPI flash device.,AS_DATA2,,
98,SDM_IO4,OK,OK,OK,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the data0 pin of the QSPI flash device when configuring from the QSPI flash device.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / Connect this pin to the data0 pin of the QSPI flash device when configuring from the QSPI flash device.,AS_DATA0,,
99,SDM_IO5,OK,OK,OK,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the nCS input of the first QSPI flash device when configuring from QSPI flash devices.,"This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions as MSEL[0] during power up and reset to determine the configuration scheme. Once the pin completes the MSEL function, it then functions according to the configuration scheme you have selected. / For more information, refer to the Device Configuration User Guide: Agilex 3 FPGAs and SoCs. / Connect this pin to the nCS input of the first QSPI flash device when configuring from QSPI flash devices.",AS_nCSO0,,
100,SDM_IO6,OK,OK,OK,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the data3 pin of the QSPI flash device when configuring from the QSPI flash device.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / Connect this pin to the data3 pin of the QSPI flash device when configuring from the QSPI flash device.,AS_DATA3,,
101,SDM_IO7,MSEL 1,OK,MSEL 1,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the nCS input of the third QSPI flash device when you use cascaded QSPI flash devices for HPS application and with Mailbox Client IP or HPS as data storage.,"This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions as MSEL[1] during power up to determines the configuration scheme. Once the pin completes the MSEL function, it then functions according to the configuration scheme you have selected. / For more information, refer to the Device Configuration User Guide: Agilex 3 FPGAs and SoCs. / Connect this pin to the nCS input of the third QSPI flash device when you use cascaded QSPI flash devices for HPS application and with Mailbox Client IP or HPS as data storage.",AS_nCSO2,,
102,SDM_IO8,TP 9,OK,TP 9,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the nCS input of the fourth QSPI flash device when you use cascaded QSPI flash devices for HPS application and with Mailbox Client IP or HPS as data storage.,This pin is pulled low internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / Connect this pin to the nCS input of the fourth QSPI flash device when you use cascaded QSPI flash devices for HPS application and with Mailbox Client IP or HPS as data storage.,AS_nCSO3,,
103,SDM_IO9,MSEL 2,OK,MSEL 2,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the nCS input of the second QSPI flash device when you use cascaded QSPI flash devices for HPS application and with Mailbox Client IP or HPS as data storage.,"This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions as MSEL[2] during power up to determines the configuration scheme. Once the pin completes the MSEL function, it then functions according to the configuration scheme you have selected. / For more information, refer to the Device Configuration User Guide: Agilex 3 FPGAs and SoCs. / Connect this pin to the nCS input of the second QSPI flash device when you use cascaded QSPI flash devices for HPS application and with Mailbox Client IP or HPS as data storage.",AS_nCSO1,,
104,SDM_IO10,HPS_COLD_RESET PULLED UP WITH 10 K TO 1.8V,OK,SDM_IO10 is used as HPS_COLD_nRESET per schematic; set row 77/assignment accordingly and verify 10 kohm pull-up/reset source.,WARNING,WARNING,Current worksheet signal-name column says Unused.,/ This pin is not used.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / This pin is not used.,Unused,,
105,SDM_IO11,Connected corrcetly pulled up to 1.8v with 10k,OK,SDM_IO11 likely PWRMGT_SDA; set optional assignment if used and verify pull-up to VCCIO_SDM.,WARNING,WARNING,Schematic page 12 shows SDM_PWRMGT_SDA.,/ This pin is not used.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / This pin is not used.,Unused,,
106,SDM_IO12,TP 10,OK,TP 10,OK,OK,No change recommended from available schematic/QSF evidence.,/ This pin is not used.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin is not used.,Unused,,
107,SDM_IO13,PULLED DOWN TO GND,OK,PULLED DOWN TO GND,OK,OK,No change recommended from available schematic/QSF evidence.,/ This pin is not used.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / This pin is not used.,Unused,,
108,SDM_IO14,Connected corrcetly pulled up to 1.8v with 10k,OK,SDM_IO14 likely PWRMGT_SCL; set optional assignment if used and verify pull-up to VCCIO_SDM.,WARNING,WARNING,Schematic page 12 shows SDM_PWRMGT_SCL.,/ This pin is not used.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / This pin is not used.,Unused,,
109,SDM_IO15,AS X4 QSPI RESET,OK,AS X4 QSPI RESET,OK,OK,No change recommended from available schematic/QSF evidence.,/ Connect this pin to the reset pin of the QSPI flash device when configuring from the QSPI flash device.,This pin is pulled high internally by a 20kohm resistor when the device is powered up. / This pin functions differently depending on the configuration scheme used by setting the MSEL pins. / Connect this pin to the reset pin of the QSPI flash device when configuring from the QSPI flash device.,AS_nRST,,
110,SDM_IO16,Connected corrcetly pulled up to 1.8v with 10k,OK,SDM_IO16 is CONF_DONE per schematic; set row 73/assignment accordingly and keep 10 kohm pull-up to 1.8 V.,OK,OK,Schematic page 12 shows SDM_CONF_DONE.,/ This pin is not used.,This pin is pulled low internally by a 20kohm resistor when the device is powered up. / This pin is not used.,Unused,,
113,CLK/PLL,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
114,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
115,"CLK_[T,B]_2[A,B]_[0:1][p,n] / CLK_[T,B]_3[A,B]_[0:1][p,n]",Connected correctly,OK,Connected/used as clock-capable HSIO/HVIO pins where assigned. Add QSF IO_STANDARD/termination for clock pins and verify generated .pin.,WARNING,WARNING,Location assignments exist; electrical assignments are missing.,"If the entire HSIO bank in unused, you may leave these pins floating, connected to VCCIO_PIO or connected to a tri-stated upstream or downstream I/O pin. If the unused pins reside in an active HSIO bank, you may leave these pins floating or connected to a tri-stated upstream or downstream I/O pin.","Dual-purpose I/O pins that can be used for data inputs or outputs. On-chip termination such as differential input termination (RD OCT), parallel termination (RT OCT), and series termination (RS OCT) are supported on these pins. / For more information about the supported pins, refer to the device pin-out file. / When you do not use these pins as dedicated clock pins, you can use them as regular I/O pins. / Supported I/O standards: / - 1.0 V / - 1.05 V / - 1.1 V / - 1.2 V / - 1.3 V / These pins support the programmable pull-up resistor. For more information, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet.",,,
116,"PLL_[2][A,B]_[T,B]_FB[0:1] / PLL_[3][A,B]_[T,B]_FB[0:1]",Connected correctly,OK,PLL feedback pins are not used as PLL feedback in QSF; leave as assigned I/O/unused per Quartus and verify .pin.,OK,OK,No dedicated PLL feedback use found.,"If the entire HSIO bank in unused, you may leave these pins floating, connected to VCCIO_PIO or connected to a tri-stated upstream or downstream I/O pin. If the unused pins reside in an active HSIO bank, you may leave these pins floating or connected to a tri-stated upstream or downstream I/O pin.","Dual-purpose I/O pins that can be used as single-ended inputs, single-ended outputs, or external feedback input pins. / For more information about the supported pins, refer to the device pin-out file. / Supported I/O standards: / - 1.0 V / - 1.05 V / - 1.1 V / - 1.2 V / - 1.3 V / These pins support the programmable pull-up resistor. For more information, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet.",,,
117,"PLL_[2][A,B]_[T,B]_CLKOUT[0:1][p,n] / PLL_[3][A,B]_[T,B]_CLKOUT[0:1][p,n]",Connected correctly,OK,PLL clock-out pins are used/available as I/O; verify QSF IO_STANDARD if any are driven as clock outputs.,WARNING,WARNING,Electrical assignments missing.,"If the entire HSIO bank in unused, you may leave these pins floating, connected to VCCIO_PIO or connected to a tri-stated upstream or downstream I/O pin. If the unused pins reside in an active HSIO bank, you may leave these pins floating or connected to a tri-stated upstream or downstream I/O pin.","I/O pins that can be used as two single-ended clock output pins or one differential clock output pair. / For more information about the supported pins, refer to the device pin-out file. / Supported I/O standards: / - 1.0 V / - 1.05 V / - 1.1 V / - 1.2 V / - 1.3 V / These pins support the programmable pull-up resistor. For more information, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet.",,,
120,Sensors,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
121,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
122,VREFP_ADC,connected to gnd,OK,connected to gnd,OK,OK,No change recommended from available schematic/QSF evidence.,Voltage sensors are not used,Voltage sensors are not used,,,
123,VREFN_ADC,connected to gnd,OK,connected to gnd,OK,OK,No change recommended from available schematic/QSF evidence.,Voltage sensors are not used,Voltage sensors are not used,,,
124,"VSIGP_[0,1]",connected to gnd,OK,connected to gnd,OK,OK,No change recommended from available schematic/QSF evidence.,Voltage sensors are not used,Voltage sensors are not used,,,
125,"VSIGN_[0,1]",connected to gnd,OK,connected to gnd,OK,OK,No change recommended from available schematic/QSF evidence.,Voltage sensors are not used,Voltage sensors are not used,,,
126,"TEMPDIODE0A[p,n]",unconnected / floating,OK,unconnected / floating,OK,OK,No change recommended from available schematic/QSF evidence.,Voltage sensors are not used,Temperature sensors are not used,,,
129,GPIO,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
131,Use HVIO Optional Function Pins?,,,,,INFO,No change recommended from available schematic/QSF evidence.,Yes,,,,
133,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
134,"RZQ_[T,B]_2[A,B] / RZQ_[T,B]_3[A,B]",connected correctly to gnd,OK,"RZQ pins used for OCT must be 240 ohm +/-1% to GND. Schematic shows 240 ohm parts for RZQ pins; keep, and avoid describing as direct GND short.",OK,OK,R247/R243/R244/R309/R308 entries show 240 ohm in extracted schematic text.,"When using OCT, tie these pins to GND through a 240-ohm resistor. / When you do not use these pins as dedicated input for the external precision resistor or as I/O pins, leave these pins unconnected.","Reference pins for I/O banks. The RZQ pins share the same VCCIO_PIO with the I/O bank where they are located. / Connect the external precision resistor to the designated pin within the bank. If not required, this pin is a regular I/O pin. / These pins support 1.3-V, 1.2-V, 1.1-V, 1.05-V, and 1.0-V I/O standard. / These pins support the programmable pull-up resistor. For more information, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet. / For more information about the supported pins, refer to the device pin-out file.",,,
136,HSIO Pins,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
137,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
138,"DIFF_IO_[2][A,B]_[T,B][1:24][p,n] / DIFF_IO_[3][A,B]_[T,B][1:24][p,n]",Connected correctly,OK,HSIO pins are used for LPDDR4 and ADRV9002 LVDS. Pin locations are valid for M16A; add required IO_STANDARD/termination assignments and confirm unused HSIO pins per Quartus .pin.,WARNING,WARNING,"QSF locations valid, but electrical assignments absent.","Connect unused pins as defined in the Quartus Prime software. / If the entire HSIO bank in unused, you may leave these pins floating, connected to VCCIO_PIO or connected to a tri-stated upstream or downstream I/O pin. If the unused pins reside in an active HSIO bank, you may leave these pins floating or connected to a tri-stated upstream or downstream I/O pin.","These are LVDS SERDES channels on HSIO banks. If these pins are not used in LVDS SERDES implementation, these pins are available as user I/O pins. / Supported I/O standards: / - 1.3-V I/O standard for true differential I/O / - 1.3-V I/O standard for single-ended non-voltage referenced I/O / - 1.2-V I/O standard for single-ended voltage referenced and non-voltage referenced I/O / - 1.2-V I/O standard for differential voltage referenced I/O / - 1.2-V I/O standard for true differential I/O / - 1.1-V I/O standard for single-ended voltage referenced and non-voltage referenced I/O / - 1.1-V I/O standard for differential voltage referenced I/O / - 1.1-V I/O standard for true differential I/O / - 1.05-V I/O standard for single-ended voltage referenced and non-voltage referenced I/O / - 1.05-V I/O standard for differential voltage referenced input / - 1.05-V I/O standard for true differential I/O / - 1.0-V I/O standard for non-voltage referenced I/O / These pins support the programmable pull-up resistor. For more information, refer to the Agilex 3 FPGAs and SoCs Device Data Sheet. / For more information about the I/O placement guidelines, refer to the General-Purpose I/O User Guide: Agilex 3 FPGAs and SoCs.",,,
140,HVIO Pins,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
141,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
142,"HVIO_5[A,B]_[1:20] / HVIO_6[A,B,C,D,E,F,G,H]_[1:20]",Used for pheripherals,OK,HVIO bank 5A/5B pins are used for peripherals/spares. Confirm 3.3-V compatibility/level shifting and add IO_STANDARD assignments.,WARNING,WARNING,QSF electrical assignments absent.,Connect unused pins as defined in the Quartus Prime software.,General-purpose input/output pins. Support I/O standards: / - 1.8-V LVCMOS I/O standard / - 1.8-V LVTTL I/O standard / - 2.5-V LVCMOS I/O standard / - 2.5-V LVTTL I/O standard / - 3.3-V LVCMOS I/O standard / - 3.3-V LVTTL I/O standard,,,
144,HVIO Optional Function Pins,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
145,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
146,"PLLREFCLK[1,2]",Used for pheripherals,OK,Only mark optional PLLREFCLK pins used if actual external clock uses those HVIO pins; otherwise mark unused/regular GPIO.,WARNING,WARNING,Current generic "Used for peripherals" is too broad.,Provide a single-ended external clock source to this pin. / Connect unused pins as defined in the Quartus Prime software.,Reference clock input pins for IOPLL.,,,
147,"SOURCE_SYNC_CLK[1,2]",Used for pheripherals,OK,Only mark SOURCE_SYNC_CLK pins used if actual source-sync/RGMII clock uses those HVIO pins; otherwise regular GPIO/unused.,WARNING,WARNING,Current generic "Used for peripherals" is too broad.,Provide a single-ended external clock source to this pin when the pin is used as a reference clock. / Connect with RGMII_RX_CLK from Ethernet PHY when this pin is used as a RGMII receive clock. You can only use one of the two pins at a time as RGMII_RX_CLK. / Connect unused pins as defined in the Quartus Prime software.,Reference clock input pins to Fabric Core or RGMII interface. These pins can be used as RGMII receive clock when you have RGMII interface connected with the HVIO bank on board.,,,
148,SYSPLLREFCLK_L1A[0:1],Used for pheripherals,OK,No GTS system PLL reference use found; mark unused unless tied to a real GTS/core PLL clock plan.,NOT USED,NOT USED,No GTS assignments in QSF.,Provide a single-ended external clock source to this pin. / Connect unused pins as defined in the Quartus Prime software.,Reference clock input pins for system PLL in the GTS transceiver banks. You can also use the system PLL for the core fabric if it is unused by the GTS transceiver.,,,
149,"PIN_PERST_N_CVP_L1A_[0,1]",Used for pheripherals,OK,No PCIe/CvP PERST use found; mark unused/regular GPIO unless this pin is intentionally used for a peripheral.,NOT USED,NOT USED,No PCIe/CvP use in schematic/QSF.,"Reset input in PCIe case. / In a PCIe adapter card implementation, connect this signal from the PCIe edge connector to each GTS PCIe reset input pin. You must pull up the 3.3-V PCIe nPERST signal on the adapter card. / If the pin is assigned to PIN_PERST in the Quartus Prime IP but GTS is unused, tie to GND. / If VCCIO_HVIO is 1.8-V or 2.5-V, use a level translator to fan out and change the 3.3-V open-drain nPERST signal from the PCIe connector to this pin of each GTS transceiver that is used on the board. / In case when one reset pin controls multiple PCIe IPs in bifurcation mode, ensure that this signal is deasserted high after all IPs reference clocks are stable.","Dual-purpose pin functions as user I/O pin or PCIe* platform reset pin. Two reset pins available for each GTS bank, select either one of the pins. / When used as PCIe platform reset, connect this pin to the system PCIe nPERST signal. When the pin is low, the transceivers are in reset. When the pin is high, the transceivers are out of reset.",,,
150,TXCLK[1:20],Used for pheripherals,OK,Used only where HVIO pins are actual TXCLK/RGMII clock functions; otherwise regular GPIO/peripheral.,WARNING,WARNING,Needs net-specific confirmation.,Connect unused pins as defined in the Quartus Prime software.,Transmit clock. These pins can be used as RGMII transmit clock when you have RGMII interface connected with HVIO bank on board.,,,
151,RXCLK[1:4],Used for pheripherals,OK,Used only where HVIO pins are actual RXCLK/reference clock functions; otherwise regular GPIO/peripheral.,WARNING,WARNING,Needs net-specific confirmation.,Provide a single-ended external clock source to this pin. / Connect unused pins as defined in the Quartus Prime software.,Reference clock input pins for the fabric core.,,,
152,Data_Ctrl[1:20],Used for pheripherals,OK,Used as HVIO data/control where peripherals attach; confirm group-of-4 requirement only if using RGMII on HVIO.,WARNING,WARNING,Current generic entry is acceptable only after pinmux confirmation.,"When these pins are used as RGMII receive data (RXD) or RGMII transmit data (TXD), you must assign the 4 pins for RXD or TXD in groups of 4. For example, [1:4], [5:8], [9:12], [13:16], and [17:20]. / Connect unused pins as defined in the Quartus Prime software.",Data and control signal. These pins can be used as RGMII data and control signal when you have RGMII interface connected with HVIO bank on board.,,,
156,Transceivers,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
157,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
158,RCOMP_GTSL1A_P,floating,NOT USED,GTS RCOMP pins floating is OK only if entire GTS side/bank is unused.,NOT USED,NOT USED,QSF has no GTS use.,"Connect each RCOMP_GTSL1A_P pin with a 499-ohm resistor (+/- 0.1%) to the RCOMP_GTSL1A_N pin. / In the PCB layout, the trace from this pin to the resistor needs to be routed such that it avoids any aggressor signals. / Leave these floating if the entire side of the GTS transceiver banks are unused.",External biasing resistors for GTS.,,,
159,RCOMP_GTSL1A_N,floating,NOT USED,GTS RCOMP pins floating is OK only if entire GTS side/bank is unused.,NOT USED,NOT USED,QSF has no GTS use.,"Connect each RCOMP_GTSL1A_P pin with a 499-ohm resistor (+/- 0.1%) to the RCOMP_GTSL1A_N pin. / In the PCB layout, the trace from this pin to the resistor needs to be routed such that it avoids any aggressor signals. / Leave these floating if the entire side of the GTS transceiver banks are unused.",External biasing resistors for GTS.,,,
160,REFCLK_GTSL1A_CH1p,not tied to gnd,WARNING,"Unused GTS REFCLK_GTSL1A_CH1p must be tied to GND, not left open.",WARNING,WARNING,Pin guideline says tie unused REFCLK to GND.,AC or DC coupled. Clock driver must be compatible with input requirement in DC coupling case. / Tie to GND if these pins are not used.,"Local reference clock pins for GTS transceiver banks. / For more information about the supported pins, refer to the device pin-out file.",,,
161,REFCLK_GTSL1A_CH1n,not tied to gnd,WARNING,"Unused GTS REFCLK_GTSL1A_CH1n must be tied to GND, not left open.",WARNING,WARNING,Pin guideline says tie unused REFCLK to GND.,AC or DC coupled. Clock driver must be compatible with input requirement in DC coupling case. / Tie to GND if these pins are not used.,"Local reference clock pins for GTS transceiver banks. / For more information about the supported pins, refer to the device pin-out file.",,,
162,CDRCLKOUT_GTSL1A_CH2p,not tied to gnd,WARNING,Unused CDRCLKOUT_GTSL1A_CH2p may be left floating.,NOT USED,NOT USED,This is an output; current "not tied to GND" warning should be changed.,AC or DC coupled. / Leave unused pins floating.,"CDR recovered clock output pins for GTS transceiver banks. / For more information about the supported pins, refer to the device pin-out file.",,,
163,CDRCLKOUT_GTSL1A_CH2n,not tied to gnd,WARNING,Unused CDRCLKOUT_GTSL1A_CH2n may be left floating.,NOT USED,NOT USED,This is an output; current "not tied to GND" warning should be changed.,AC or DC coupled. / Leave unused pins floating.,"CDR recovered clock output pins for GTS transceiver banks. / For more information about the supported pins, refer to the device pin-out file.",,,
164,REFCLK_GTSL1A_RX_P,not tied to gnd,WARNING,Unused REFCLK_GTSL1A_RX_P must be tied to GND.,WARNING,WARNING,Pin guideline says tie unused REFCLK to GND.,AC or DC coupled. Clock driver must be compatible with input requirement in DC coupling case. / Tie to GND if these pins are not used.,"Regional reference clock input pins for GTS transceiver banks. / For more information about the supported pins, refer to the device pin-out file.",,,
165,REFCLK_GTSL1A_RX_N,not tied to gnd,WARNING,Unused REFCLK_GTSL1A_RX_N must be tied to GND.,WARNING,WARNING,Pin guideline says tie unused REFCLK to GND.,AC or DC coupled. Clock driver must be compatible with input requirement in DC coupling case. / Tie to GND if these pins are not used.,"Regional reference clock input pins for GTS transceiver banks. / For more information about the supported pins, refer to the device pin-out file.",,,
166,"GTSL1A_RX_CH[0,1,2,3]p",not tied to gnd,WARNING,Unused GTS RX channel P pins must be tied to GND.,WARNING,WARNING,Pin guideline says tie unused RX inputs to GND.,AC or DC coupled. / Tie to GND if these pins are not used.,"GTS transceiver input pins. / For more information about the supported pins, refer to the device pin-out file.",,,
167,"GTSL1A_RX_CH[0,1,2,3]n",not tied to gnd,WARNING,Unused GTS RX channel N pins must be tied to GND.,WARNING,WARNING,Pin guideline says tie unused RX inputs to GND.,AC or DC coupled. / Tie to GND if these pins are not used.,"GTS transceiver input pins. / For more information about the supported pins, refer to the device pin-out file.",,,
168,"GTSL1A_TX_CH[0,1,2,3]p",floating,NOT USED,Unused GTS TX channel P pins may be left floating.,NOT USED,NOT USED,Output pin unused guidance.,AC or DC coupled. / Leave unused pins floating.,"GTS transceiver output pins. / For more information about the supported pins, refer to the device pin-out file.",,,
169,"GTSL1A_TX_CH[0,1,2,3]n",floating,NOT USED,Unused GTS TX channel N pins may be left floating.,NOT USED,NOT USED,Output pin unused guidance.,AC or DC coupled. / Leave unused pins floating.,"GTS transceiver output pins. / For more information about the supported pins, refer to the device pin-out file.",,,
170,"APROBE_GTSL1A_CH[0,1,2,3]",floating,NOT USED,APROBE pins floating is correct when unused.,NOT USED,NOT USED,Guideline says leave floating.,Leave these pins floating.,-,,,
171,APROBE2_GTSL1A,floating,NOT USED,APROBE2 pin floating is correct when unused.,NOT USED,NOT USED,Guideline says leave floating.,Leave these pins floating.,-,,,
174,EMIF,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
176,LPDDR4,,,"No. LPDDR4 worksheet subsection is disabled, but design actually uses HPS LPDDR4 via HPS EMIF/3A pins; document under HPS/EMIF, not this generic LPDDR4 subsection if worksheet intends fabric LPDDR4 only.",OK,OK,QSF uses mem_0_* HPS EMIF pins.,No,,,,
179,LPDDR4 Interface Pins,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
180,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
181,Data pin - DQ,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
182,Data strobe - DQS_C/DQS_T,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
183,mem_clk_c and mem_clk_t,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
184,Clock_source,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
185,DMI,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
186,Address [CA],not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
187,Command [CS],not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
188,Reset for LPDDR4 Memory,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
189,RZQ_[#],not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
190,CKE,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
191,Multiple LPDDR4 IP placed in an IO row,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
192,Byte Lane Swapping,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
193,LPDDR4 Termination Guidelines,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
194,Pin Name,Implementation (User Input),Status (User Input),Implementation (User Input),Status (User Input),INFO,Header row retained for worksheet context.,Pin Connection Guideline,Additional Info,,,
195,Memory clocks@ Memory,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
196,Memory clocks@ FPGA,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
197,DQS @ Memory / DQ @ Memory / DMI @ Memory,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
198,DQS @ FPGA,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
199,DQ @ FPGA / DMI @ FPGA,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
200,Address [CA] @ Memory,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
201,Address [CA] @ FPGA,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
202,"Command [CKE, CS_N] @ Memory",not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
203,"Command [CKE, CS_N] @ FPGA",not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
204,RZQ_[#],not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
205,ODT_CA@Memory,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
206,Reset for LPDDR4 Memory,not used,NOT USED,not used,NOT USED,OK,No change recommended from available schematic/QSF evidence.,LPDDR4 is not used.,LPDDR4 is not used.,,,
210,HPS,,,,,INFO,No change recommended from available schematic/QSF evidence.,,,,,
212,JTAG,,,"No, unless dedicated HPS JTAG pins are actually routed. Use SDM/JTAG chain through FPGA JTAG instead.",UPDATE,UPDATE,Rows 229-232 are all NOT USED; set section flag to No.,Yes,,,,
213,GPIO,,,Set Yes only for HPS_IO pins intentionally configured as GPIO in the HPS pinmux. Otherwise set No and rely on SDMMC/EMAC2 sections.,WARNING,WARNING,Current generic GPIO OK rows are not enough evidence of HPS GPIO pinmux.,Yes,,,,
214,SDMMC,,,,,INFO,No change recommended from available schematic/QSF evidence.,Yes,,,,
